Product Name,Sum of Sales,Sum of Cost,Sum of Gross Profit
Wonka Bar -Scrumdiddlyumptious,$27874.79999999999,8517.300000000012,$19357.5
Wonka Bar - Triple Dazzle Caramel,$28485,9874.80000000005,$18610.20000000004
Wonka Bar - Milk Chocolate,$26867.75,9424.380000000065,$17443.36999999997
Wonka Bar - Nutty Crunch Surprise,$23574.94999999999,6755,$16819.94999999987
Wonka Bar - Fudge Mallows,$24890.40000000002,8296.799999999985,$16593.59999999997
Lickable Wallpaper,$7860,3930,$3930
Wonka Gum,$597.5,286.8,$310.6999999999999
Everlasting Gobstopper,$130,26,$104
Kazookles,$1205.75,1113,$92.75
Hair Toffee,$76.5,17,$59.5
Fizzy Lifting Drinks,$78.75,31.5,$47.25
Laffy Taffy,$53.73,20.25,$33.48
SweeTARTS,$61.5,32.8,$28.7
Nerds,$15,8,$7
Fun Dip,$12,7.2,$4.8
